customer_id,account_id,account_number,account_type,opening_date,current_balance,account_status,account_holder_type,recurring_balance
CUST_05001,ACC_05675,52816158757,Saving Bank Account,2024-03-03,24040,active,single,24040
CUST_05002,ACC_05676,61695698716,Basic Saving Bank Deposit Account,2024-10-06,23449,active,single,23449
CUST_05003,ACC_05677,92498921752,Resident Foreign Currency Domestic Account,2025-04-14,849702,active,single,849702
CUST_05004,ACC_05678,88123315436,Saving Bank Account,2025-05-07,74913,active,single,74913
CUST_05005,ACC_05679,46678558788,Saving Plus Bank Account,2022-05-11,317072,active,single,317072
CUST_05006,ACC_05680,31236151421,Digital Saving Account,2021-07-21,95470,active,single,95470
CUST_05007,ACC_05681,12621777119,Saving Plus Bank Account,2024-10-18,264391,active,single,264391
CUST_05008,ACC_05682,57232339842,Minor Saving Account,2022-01-13,13018,active,single,13018
CUST_05008,ACC_05683,67366426291,Digital Saving Account,2022-03-23,15826,active,single,15826
CUST_05009,ACC_05684,84479852335,Digital Saving Account,2025-07-09,151014,active,single,151014
CUST_05010,ACC_05685,97724971895,Saving Plus Bank Account,2022-07-23,291907,active,single,291907
CUST_05011,ACC_05686,28943128173,Saving Plus Bank Account,2025-09-28,469844,active,single,469844
CUST_05012,ACC_05687,22472148168,Digital Saving Account,2022-10-14,12607,active,single,12607
CUST_05012,ACC_05688,27333816145,Basic Saving Bank Deposit Account,2022-11-09,13103,active,single,13103
CUST_05013,ACC_05689,87786712633,Basic Saving Bank Deposit Account,2021-04-08,4386,active,single,4386
CUST_05014,ACC_05690,76914985597,Minor Saving Account,2023-07-02,12141,active,single,12141
CUST_05015,ACC_05691,82969472876,Saving Plus Bank Account,2025-01-12,57834,active,single,57834
CUST_05015,ACC_05692,89457393294,Saving Bank Account,2024-10-23,23299,active,single,23299
CUST_05016,ACC_05693,58147687471,Resident Foreign Currency Domestic Account,2025-02-15,230889,active,single,230889
CUST_05017,ACC_05694,69541397542,Digital Saving Account,2022-02-18,222749,active,single,222749
CUST_05018,ACC_05695,89473887593,Basic Saving Bank Deposit Account,2023-01-10,10840,active,single,10840
CUST_05019,ACC_05696,26163514277,Saving Bank Account,2025-09-05,43670,active,single,43670
CUST_05020,ACC_05697,61973696554,Basic Saving Bank Deposit Account,2023-10-31,6980,active,single,6980
CUST_05021,ACC_05698,26947865259,Minor Saving Account,2022-07-10,41990,active,single,41990
CUST_05022,ACC_05699,17128745949,Resident Foreign Currency Domestic Account,2023-09-08,361127,active,single,361127
CUST_05022,ACC_05700,93986925373,Basic Saving Bank Deposit Account,2023-09-04,13277,active,single,13277
CUST_05023,ACC_05701,69485984431,Minor Saving Account,2024-03-24,13630,active,single,13630
CUST_05024,ACC_05702,28644546958,Digital Saving Account,2025-11-09,86281,active,single,86281
CUST_05024,ACC_05703,95437253829,Minor Saving Account,2025-09-22,13407,active,single,13407
CUST_05025,ACC_05704,16419265914,Saving Plus Bank Account,2024-02-09,237184,active,single,237184
CUST_05026,ACC_05705,43953521356,Saving Plus Bank Account,2024-08-15,459416,active,single,459416
CUST_05027,ACC_05706,81884894214,Resident Foreign Currency Domestic Account,2021-08-19,363906,active,single,363906
CUST_05028,ACC_05707,98755529912,Minor Saving Account,2024-06-12,21637,dormant,single,21637
CUST_05029,ACC_05708,34322515765,Basic Saving Bank Deposit Account,2022-02-21,19696,active,single,19696
CUST_05030,ACC_05709,71449936182,Minor Saving Account,2021-05-13,25041,active,single,25041
CUST_05030,ACC_05710,51675513467,Saving Bank Account,2021-05-15,37868,dormant,single,37868
CUST_05031,ACC_05711,51114982857,Basic Saving Bank Deposit Small Account,2023-03-18,12016,active,single,12016
CUST_05032,ACC_05712,62346873381,Basic Saving Bank Deposit Account,2022-03-04,21056,active,single,21056
CUST_05032,ACC_05713,42527325469,Saving Bank Account,2022-02-23,91809,active,single,91809
CUST_05033,ACC_05714,29828481394,Basic Saving Bank Deposit Small Account,2022-03-07,10914,active,single,10914
CUST_05033,ACC_05715,13863593392,Resident Foreign Currency Domestic Account,2022-02-10,524676,active,single,524676
CUST_05034,ACC_05716,12221151262,Basic Saving Bank Deposit Small Account,2021-12-27,5129,active,single,5129
CUST_05034,ACC_05717,97864851844,Digital Saving Account,2021-12-28,103984,active,single,103984
CUST_05035,ACC_05718,34746463448,Basic Saving Bank Deposit Account,2023-06-14,10300,active,single,10300
CUST_05036,ACC_05719,47546725447,Minor Saving Account,2023-01-09,6139,active,single,6139
CUST_05037,ACC_05720,74645616777,Basic Saving Bank Deposit Account,2023-09-04,8543,active,single,8543
CUST_05038,ACC_05721,13969931757,Resident Foreign Currency Domestic Account,2025-06-03,943809,active,single,943809
CUST_05039,ACC_05722,88541241794,Minor Saving Account,2025-02-22,558,active,single,558
CUST_05040,ACC_05723,41579962749,Saving Bank Account,2022-01-08,78806,dormant,single,78806
CUST_05041,ACC_05724,76982713178,Basic Saving Bank Deposit Account,2023-03-05,15950,active,single,15950
CUST_05042,ACC_05725,45824617647,Saving Bank Account,2026-01-12,19843,active,single,19843
CUST_05042,ACC_05726,22252331387,Basic Saving Bank Deposit Account,2025-12-29,6642,active,single,6642
CUST_05043,ACC_05727,52356633481,Basic Saving Bank Deposit Account,2021-09-15,7533,active,single,7533
CUST_05043,ACC_05728,84724891377,Resident Foreign Currency Domestic Account,2021-08-06,620055,active,single,620055
CUST_05044,ACC_05729,89178964944,Resident Foreign Currency Domestic Account,2024-03-03,212936,active,single,212936
CUST_05045,ACC_05730,95382538712,Saving Plus Bank Account,2025-10-28,418096,active,single,418096
CUST_05046,ACC_05731,97723216524,Basic Saving Bank Deposit Small Account,2023-01-20,13179,active,single,13179
CUST_05047,ACC_05732,26546269236,Minor Saving Account,2023-11-13,30121,active,single,30121
CUST_05048,ACC_05733,64751216571,Saving Bank Account,2023-01-16,9588,active,single,9588
CUST_05048,ACC_05734,77781324172,Resident Foreign Currency Domestic Account,2022-12-31,346681,active,single,346681
CUST_05049,ACC_05735,98288978415,Saving Bank Account,2022-07-25,24979,active,single,24979
CUST_05050,ACC_05736,92112699789,Resident Foreign Currency Domestic Account,2021-11-12,723212,active,single,723212
CUST_05051,ACC_05737,72897324754,Basic Saving Bank Deposit Account,2022-09-13,14018,active,single,14018
CUST_05052,ACC_05738,47687215233,Resident Foreign Currency Domestic Account,2024-04-27,238266,active,single,238266
CUST_05053,ACC_05739,96754764137,Resident Foreign Currency Domestic Account,2022-07-22,488669,active,single,488669
CUST_05054,ACC_05740,68586249362,Digital Saving Account,2025-01-20,136180,active,single,136180
CUST_05055,ACC_05741,38884791837,Minor Saving Account,2024-09-22,10132,active,single,10132
CUST_05056,ACC_05742,74448682218,Basic Saving Bank Deposit Account,2023-12-31,7066,active,single,7066
CUST_05057,ACC_05743,13816978973,Saving Bank Account,2023-08-13,46957,active,single,46957
CUST_05058,ACC_05744,95767719619,Saving Bank Account,2025-03-02,6926,dormant,single,6926
CUST_05058,ACC_05745,33852881748,Saving Plus Bank Account,2025-03-24,77996,active,single,77996
CUST_05059,ACC_05746,91729475617,Saving Plus Bank Account,2023-10-29,409503,active,single,409503
CUST_05060,ACC_05747,69846462784,Saving Bank Account,2024-06-28,46270,active,single,46270
CUST_05061,ACC_05748,55231349748,Saving Plus Bank Account,2025-08-10,362732,active,single,362732
CUST_05062,ACC_05749,45816884536,Minor Saving Account,2023-09-28,33344,active,single,33344
CUST_05063,ACC_05750,53132556456,Basic Saving Bank Deposit Small Account,2023-05-20,7151,active,single,7151
CUST_05064,ACC_05751,17799899491,Saving Bank Account,2021-10-16,51069,active,single,51069
CUST_05064,ACC_05752,84175952868,Basic Saving Bank Deposit Account,2021-10-18,3848,active,single,3848
CUST_05065,ACC_05753,14226158658,Basic Saving Bank Deposit Small Account,2025-03-15,2728,active,single,2728
CUST_05066,ACC_05754,89951891724,Basic Saving Bank Deposit Small Account,2024-01-26,13868,active,single,13868
CUST_05067,ACC_05755,95529588682,Saving Bank Account,2024-12-24,96712,active,single,96712
CUST_05068,ACC_05756,74747385653,Digital Saving Account,2023-06-23,160774,active,single,160774
CUST_05069,ACC_05757,16345413378,Resident Foreign Currency Domestic Account,2024-02-21,71239,active,single,71239
CUST_05069,ACC_05758,66189792778,Saving Bank Account,2023-12-22,19410,active,single,19410
CUST_05070,ACC_05759,17843545142,Saving Plus Bank Account,2021-06-01,224413,active,single,224413
CUST_05071,ACC_05760,63947491898,Digital Saving Account,2023-07-02,73139,active,single,73139
CUST_05072,ACC_05761,54263271949,Saving Bank Account,2024-07-28,24692,active,single,24692
CUST_05073,ACC_05762,16122945337,Saving Plus Bank Account,2025-03-30,111862,active,single,111862
CUST_05074,ACC_05763,91953161631,Minor Saving Account,2022-01-19,9580,active,single,9580
CUST_05075,ACC_05764,21313815886,Digital Saving Account,2024-04-18,157828,active,single,157828
CUST_05075,ACC_05765,96473243652,Saving Bank Account,2024-02-22,26536,active,single,26536
CUST_05076,ACC_05766,84127286857,Basic Saving Bank Deposit Account,2025-07-10,14306,active,single,14306
CUST_05077,ACC_05767,87529796584,Basic Saving Bank Deposit Small Account,2022-05-22,1248,active,single,1248
CUST_05078,ACC_05768,75378883642,Basic Saving Bank Deposit Account,2021-03-14,17946,active,single,17946
CUST_05079,ACC_05769,16958645583,Saving Bank Account,2022-10-04,55112,active,single,55112
CUST_05080,ACC_05770,76221152382,Basic Saving Bank Deposit Account,2021-04-12,21801,active,single,21801
CUST_05081,ACC_05771,72546398883,Saving Bank Account,2023-04-30,25312,active,single,25312
CUST_05081,ACC_05772,84942819268,Digital Saving Account,2023-04-17,81098,active,single,81098
CUST_05082,ACC_05773,95975713455,Basic Saving Bank Deposit Account,2025-03-10,21791,active,single,21791
CUST_05083,ACC_05774,15617489547,Saving Bank Account,2021-05-12,14714,active,single,14714
CUST_05084,ACC_05775,45197466175,Saving Plus Bank Account,2022-04-03,191549,active,single,191549
CUST_05085,ACC_05776,37468375534,Saving Bank Account,2024-01-17,63527,active,single,63527
CUST_05086,ACC_05777,71672347726,Minor Saving Account,2021-10-20,1808,active,single,1808
CUST_05087,ACC_05778,22427163738,Resident Foreign Currency Domestic Account,2022-02-12,276691,active,single,276691
CUST_05088,ACC_05779,48531243351,Resident Foreign Currency Domestic Account,2025-09-23,630117,dormant,single,630117
CUST_05088,ACC_05780,36829936616,Minor Saving Account,2025-08-18,1555,active,single,1555
CUST_05089,ACC_05781,87986533655,Resident Foreign Currency Domestic Account,2023-03-06,193850,active,single,193850
CUST_05090,ACC_05782,34232411177,Basic Saving Bank Deposit Account,2025-01-28,6026,active,single,6026
CUST_05091,ACC_05783,14292293124,Saving Bank Account,2025-04-25,22543,active,single,22543
CUST_05092,ACC_05784,55486825226,Saving Plus Bank Account,2023-03-10,142790,active,single,142790
CUST_05093,ACC_05785,39937775641,Saving Plus Bank Account,2023-08-12,42197,active,single,42197
CUST_05094,ACC_05786,59749729336,Resident Foreign Currency Domestic Account,2021-06-29,610407,active,single,610407
CUST_05095,ACC_05787,75223123994,Resident Foreign Currency Domestic Account,2021-02-05,284283,active,single,284283
CUST_05096,ACC_05788,51156238643,Resident Foreign Currency Domestic Account,2022-10-23,195839,active,single,195839
CUST_05097,ACC_05789,87627637994,Basic Saving Bank Deposit Small Account,2022-06-10,13148,active,single,13148
CUST_05098,ACC_05790,43315495666,Resident Foreign Currency Domestic Account,2022-06-25,593147,active,single,593147
CUST_05099,ACC_05791,59519933884,Basic Saving Bank Deposit Small Account,2021-11-01,3206,dormant,single,3206
CUST_05100,ACC_05792,31965919558,Basic Saving Bank Deposit Small Account,2022-03-23,2885,active,single,2885
CUST_05101,ACC_05793,62871321718,Basic Saving Bank Deposit Account,2025-08-05,5986,active,single,5986
CUST_05101,ACC_05794,69197489232,Basic Saving Bank Deposit Small Account,2025-10-28,8207,active,single,8207
CUST_05102,ACC_05795,65571931497,Saving Bank Account,2023-11-16,60555,active,single,60555
CUST_05103,ACC_05796,75948477162,Saving Bank Account,2023-06-08,31900,active,single,31900
CUST_05104,ACC_05797,13479158993,Basic Saving Bank Deposit Account,2022-02-26,18073,active,single,18073
CUST_05105,ACC_05798,51481128344,Basic Saving Bank Deposit Account,2021-07-29,4307,active,single,4307
CUST_05106,ACC_05799,99817374342,Basic Saving Bank Deposit Account,2023-03-30,24618,active,single,24618
CUST_05107,ACC_05800,96338935626,Basic Saving Bank Deposit Account,2021-05-02,13522,active,single,13522
CUST_05108,ACC_05801,14235272393,Minor Saving Account,2021-11-19,12121,active,single,12121
CUST_05109,ACC_05802,71682828632,Digital Saving Account,2024-04-16,216271,active,single,216271
CUST_05110,ACC_05803,13828655494,Saving Bank Account,2023-03-28,26936,active,single,26936
CUST_05111,ACC_05804,24867738993,Basic Saving Bank Deposit Account,2025-07-16,2544,active,single,2544
CUST_05112,ACC_05805,43228155666,Minor Saving Account,2021-08-29,27784,active,single,27784
CUST_05113,ACC_05806,65177943194,Basic Saving Bank Deposit Account,2021-08-13,21572,active,single,21572
CUST_05114,ACC_05807,83471292434,Basic Saving Bank Deposit Account,2022-05-03,18422,active,single,18422
CUST_05114,ACC_05808,95731299214,Digital Saving Account,2022-06-23,97234,active,single,97234
CUST_05115,ACC_05809,54581655273,Basic Saving Bank Deposit Account,2024-12-25,21785,active,single,21785
CUST_05116,ACC_05810,89816586661,Minor Saving Account,2023-08-11,38150,active,single,38150
CUST_05117,ACC_05811,37211192448,Basic Saving Bank Deposit Account,2024-04-02,22719,active,single,22719
CUST_05118,ACC_05812,35426925846,Saving Bank Account,2024-07-28,80499,active,single,80499
CUST_05118,ACC_05813,62653959188,Digital Saving Account,2024-08-09,206634,active,single,206634
CUST_05119,ACC_05814,95856914395,Basic Saving Bank Deposit Small Account,2021-05-26,8723,active,single,8723
CUST_05120,ACC_05815,48474513579,Minor Saving Account,2023-11-18,37191,active,single,37191
CUST_05121,ACC_05816,54657358783,Digital Saving Account,2022-03-23,25676,active,single,25676
CUST_05121,ACC_05817,38177574997,Saving Bank Account,2022-04-07,23599,active,single,23599
CUST_05122,ACC_05818,54312228173,Saving Plus Bank Account,2023-12-24,457607,active,single,457607
CUST_05123,ACC_05819,85232817438,Basic Saving Bank Deposit Small Account,2021-08-11,6729,active,single,6729
CUST_05124,ACC_05820,61643592612,Digital Saving Account,2023-07-07,51862,active,single,51862
CUST_05125,ACC_05821,45987514372,Resident Foreign Currency Domestic Account,2023-02-01,787380,active,single,787380
CUST_05126,ACC_05822,74647987491,Basic Saving Bank Deposit Small Account,2024-02-22,2121,active,single,2121
CUST_05127,ACC_05823,71389537876,Minor Saving Account,2025-03-18,11317,active,single,11317
CUST_05128,ACC_05824,39473849959,Digital Saving Account,2022-05-12,189731,active,single,189731
CUST_05128,ACC_05825,28211234843,Saving Plus Bank Account,2022-03-29,113249,active,single,113249
CUST_05129,ACC_05826,55897928426,Saving Plus Bank Account,2022-08-11,204681,active,single,204681
CUST_05130,ACC_05827,28127536656,Resident Foreign Currency Domestic Account,2025-01-28,192418,active,single,192418
CUST_05131,ACC_05828,61411245441,Saving Bank Account,2022-04-21,7900,active,single,7900
CUST_05132,ACC_05829,81822897911,Basic Saving Bank Deposit Small Account,2024-11-23,10610,active,single,10610
CUST_05133,ACC_05830,35279883477,Resident Foreign Currency Domestic Account,2022-02-12,816545,active,single,816545
CUST_05134,ACC_05831,77719758924,Digital Saving Account,2022-09-07,189975,active,single,189975
CUST_05135,ACC_05832,22822434977,Basic Saving Bank Deposit Small Account,2021-10-09,13802,active,single,13802
CUST_05136,ACC_05833,84551364195,Digital Saving Account,2025-08-17,218221,active,single,218221
CUST_05137,ACC_05834,44938645824,Resident Foreign Currency Domestic Account,2021-10-10,782304,active,single,782304
CUST_05138,ACC_05835,92467253338,Minor Saving Account,2022-06-14,48352,active,single,48352
CUST_05139,ACC_05836,19446131329,Basic Saving Bank Deposit Small Account,2023-09-21,1782,active,single,1782
CUST_05140,ACC_05837,99361574889,Digital Saving Account,2024-11-23,89756,active,single,89756
CUST_05141,ACC_05838,33638536443,Basic Saving Bank Deposit Small Account,2022-11-09,11598,active,single,11598
CUST_05142,ACC_05839,82116758678,Saving Plus Bank Account,2025-07-05,84496,active,single,84496
CUST_05143,ACC_05840,41124397591,Basic Saving Bank Deposit Small Account,2024-08-11,6270,active,single,6270
CUST_05144,ACC_05841,85886786262,Saving Bank Account,2024-05-24,90517,active,single,90517
CUST_05145,ACC_05842,55591555661,Minor Saving Account,2024-11-14,26481,active,single,26481
CUST_05146,ACC_05843,41816554273,Minor Saving Account,2025-07-10,47514,active,single,47514
CUST_05146,ACC_05844,17592994412,Saving Bank Account,2025-06-12,53298,active,single,53298
CUST_05147,ACC_05845,26239711953,Resident Foreign Currency Domestic Account,2021-04-25,418523,active,single,418523
CUST_05148,ACC_05846,15614481551,Resident Foreign Currency Domestic Account,2022-10-06,176752,active,single,176752
CUST_05149,ACC_05847,99254295381,Resident Foreign Currency Domestic Account,2025-09-27,250042,active,single,250042
CUST_05150,ACC_05848,89419287818,Minor Saving Account,2024-02-03,22858,active,single,22858
CUST_05151,ACC_05849,15577788614,Resident Foreign Currency Domestic Account,2022-12-01,145282,active,single,145282
CUST_05152,ACC_05850,76148285157,Digital Saving Account,2023-10-21,78538,active,single,78538
CUST_05152,ACC_05851,49678729287,Basic Saving Bank Deposit Small Account,2023-11-06,13202,active,single,13202
CUST_05153,ACC_05852,27128382823,Minor Saving Account,2025-06-19,47125,active,single,47125
CUST_05154,ACC_05853,63198456455,Basic Saving Bank Deposit Account,2024-06-27,19878,active,single,19878
CUST_05155,ACC_05854,66155339441,Saving Bank Account,2024-06-25,69121,active,single,69121
CUST_05156,ACC_05855,93344766551,Minor Saving Account,2024-10-06,41334,active,single,41334
CUST_05156,ACC_05856,26281454326,Digital Saving Account,2024-11-05,22179,active,single,22179
CUST_05157,ACC_05857,79519755453,Basic Saving Bank Deposit Small Account,2025-04-01,1088,active,single,1088
CUST_05158,ACC_05858,94467819296,Digital Saving Account,2022-10-02,50168,active,single,50168
CUST_05159,ACC_05859,24928727473,Basic Saving Bank Deposit Small Account,2023-10-01,1680,active,single,1680
CUST_05160,ACC_05860,24577966628,Saving Bank Account,2024-06-23,19150,active,single,19150
CUST_05161,ACC_05861,48934938852,Saving Bank Account,2022-07-02,51420,active,single,51420
CUST_05162,ACC_05862,68814271275,Basic Saving Bank Deposit Small Account,2022-11-10,9244,active,single,9244
CUST_05163,ACC_05863,13959413317,Resident Foreign Currency Domestic Account,2024-03-11,579963,active,single,579963
CUST_05164,ACC_05864,82192451629,Saving Bank Account,2024-06-19,19637,active,single,19637
CUST_05164,ACC_05865,42947916614,Saving Plus Bank Account,2024-06-06,135877,active,single,135877
CUST_05165,ACC_05866,44573273192,Resident Foreign Currency Domestic Account,2025-04-07,685134,active,single,685134
CUST_05166,ACC_05867,47413858231,Resident Foreign Currency Domestic Account,2023-01-04,530890,active,single,530890
CUST_05167,ACC_05868,39953769354,Resident Foreign Currency Domestic Account,2024-12-12,574755,dormant,single,574755
CUST_05168,ACC_05869,68752661133,Basic Saving Bank Deposit Account,2021-07-01,11006,active,single,11006
CUST_05169,ACC_05870,71864296313,Digital Saving Account,2025-08-04,131582,active,single,131582
CUST_05169,ACC_05871,44837883189,Resident Foreign Currency Domestic Account,2025-10-19,620136,active,single,620136
CUST_05170,ACC_05872,48387643489,Minor Saving Account,2023-03-26,37880,active,single,37880
CUST_05171,ACC_05873,95597669549,Saving Bank Account,2021-01-29,96221,active,single,96221
CUST_05171,ACC_05874,92987837525,Digital Saving Account,2021-01-31,249704,active,single,249704
