customer_id,card_id,account_number,credit_limit,current_outstanding,activation_date,expiry_date,card_status,is_primary_card,is_delinquent
CUST_05001,CC_003,5218-YYYY-YYYY-9212,35396,23905,2023-07-03,2026-07-02,dormant,True,False
CUST_05002,CC_002,5218-YYYY-YYYY-9213,22543,4456,2021-02-06,2024-02-06,active,True,False
CUST_05002,CC_006,5218-YYYY-YYYY-9214,133630,49805,2021-07-08,2024-07-07,active,False,False
CUST_05003,CC_007,5218-YYYY-YYYY-9215,294188,166247,2024-02-27,2027-02-26,active,True,False
CUST_05003,CC_002,5218-YYYY-YYYY-9216,51946,34191,2023-10-31,2026-10-30,active,False,False
CUST_05004,CC_003,5218-YYYY-YYYY-9217,57649,12523,2023-12-06,2026-12-05,active,True,False
CUST_05004,CC_007,5218-YYYY-YYYY-9218,594603,296095,2024-03-03,2027-03-03,active,False,False
CUST_05005,CC_003,5218-YYYY-YYYY-9219,56701,7783,2024-05-30,2027-05-30,active,True,False
CUST_05005,CC_001,5218-YYYY-YYYY-9220,150727,17191,2024-08-08,2027-08-08,active,False,False
CUST_05006,CC_006,5218-YYYY-YYYY-9221,114367,51928,2025-12-17,2028-12-16,active,True,False
CUST_05007,CC_001,5218-YYYY-YYYY-9222,237501,107693,2021-07-28,2024-07-27,active,True,False
CUST_05007,CC_002,5218-YYYY-YYYY-9223,27014,5426,2021-05-19,2024-05-18,active,False,False
CUST_05008,CC_002,5218-YYYY-YYYY-9224,21978,13593,2025-07-15,2028-07-14,active,True,False
CUST_05008,CC_001,5218-YYYY-YYYY-9225,326088,127087,2025-07-24,2028-07-23,active,False,False
CUST_05008,CC_003,5218-YYYY-YYYY-9226,75122,45004,2025-04-15,2028-04-14,active,False,False
CUST_05009,CC_001,5218-YYYY-YYYY-9227,295922,31578,2022-04-29,2025-04-28,active,True,False
CUST_05010,CC_002,5218-YYYY-YYYY-9228,13706,12943,2022-11-14,2025-11-13,active,True,True
CUST_05010,CC_007,5218-YYYY-YYYY-9229,345060,248033,2022-10-13,2025-10-12,active,False,True
CUST_05011,CC_007,5218-YYYY-YYYY-9230,242913,43489,2024-04-04,2027-04-04,active,True,False
CUST_05012,CC_001,5218-YYYY-YYYY-9231,505074,106949,2022-06-05,2025-06-04,active,True,False
CUST_05012,CC_004,5218-YYYY-YYYY-9232,84313,27318,2022-04-02,2025-04-01,active,False,False
CUST_05012,CC_003,5218-YYYY-YYYY-9233,164746,25274,2022-03-31,2025-03-30,active,False,False
CUST_05013,CC_001,5218-YYYY-YYYY-9234,310273,147147,2024-07-04,2027-07-04,active,True,False
CUST_05014,CC_007,5218-YYYY-YYYY-9235,408312,220268,2025-08-21,2028-08-20,active,True,False
CUST_05015,CC_002,5218-YYYY-YYYY-9236,47149,11799,2021-06-09,2024-06-08,active,True,False
CUST_05015,CC_005,5218-YYYY-YYYY-9237,649112,253683,2021-10-24,2024-10-23,active,False,False
CUST_05015,CC_006,5218-YYYY-YYYY-9238,130894,51573,2021-11-14,2024-11-13,active,False,True
CUST_05016,CC_006,5218-YYYY-YYYY-9239,32201,3272,2022-09-09,2025-09-08,active,True,False
CUST_05016,CC_002,5218-YYYY-YYYY-9240,24240,5282,2022-08-05,2025-08-04,active,False,False
CUST_05017,CC_004,5218-YYYY-YYYY-9241,36755,20312,2025-03-08,2028-03-07,active,True,False
CUST_05017,CC_003,5218-YYYY-YYYY-9242,33361,4235,2025-05-30,2028-05-29,active,False,False
CUST_05018,CC_004,5218-YYYY-YYYY-9243,23967,13397,2021-02-28,2024-02-28,active,True,False
CUST_05018,CC_001,5218-YYYY-YYYY-9244,336066,41085,2021-02-15,2024-02-15,active,False,False
CUST_05019,CC_002,5218-YYYY-YYYY-9245,19738,8651,2023-11-02,2026-11-01,active,True,False
CUST_05019,CC_001,5218-YYYY-YYYY-9246,259901,47102,2023-08-14,2026-08-13,active,False,False
CUST_05020,CC_001,5218-YYYY-YYYY-9247,253338,117631,2023-12-31,2026-12-30,active,True,False
CUST_05020,CC_006,5218-YYYY-YYYY-9248,164075,85746,2024-01-30,2027-01-29,active,False,False
CUST_05021,CC_001,5218-YYYY-YYYY-9249,104915,57892,2025-05-23,2028-05-22,active,True,False
CUST_05022,CC_003,5218-YYYY-YYYY-9250,60242,37535,2024-06-12,2027-06-12,active,True,False
CUST_05023,CC_004,5218-YYYY-YYYY-9251,31963,12229,2021-07-16,2024-07-15,active,True,False
CUST_05024,CC_001,5218-YYYY-YYYY-9252,161773,40414,2024-06-04,2027-06-04,active,True,False
CUST_05024,CC_005,5218-YYYY-YYYY-9253,101899,68380,2024-03-19,2027-03-19,active,False,False
CUST_05025,CC_003,5218-YYYY-YYYY-9254,43325,8573,2026-02-21,2029-02-20,active,True,False
CUST_05026,CC_002,5218-YYYY-YYYY-9255,55503,21780,2022-01-16,2025-01-15,active,True,False
CUST_05027,CC_006,5218-YYYY-YYYY-9256,83724,34191,2021-04-06,2024-04-05,active,True,False
CUST_05027,CC_001,5218-YYYY-YYYY-9257,254175,169525,2021-06-03,2024-06-02,active,False,False
CUST_05028,CC_007,5218-YYYY-YYYY-9258,285811,138307,2025-05-06,2028-05-05,active,True,False
CUST_05029,CC_004,5218-YYYY-YYYY-9259,45279,31055,2021-05-18,2024-05-17,active,True,False
CUST_05030,CC_001,5218-YYYY-YYYY-9260,395397,112732,2022-01-27,2025-01-26,active,True,False
CUST_05030,CC_005,5218-YYYY-YYYY-9261,447381,209741,2021-11-07,2024-11-06,active,False,False
CUST_05030,CC_004,5218-YYYY-YYYY-9262,65930,18017,2021-08-01,2024-07-31,active,False,False
CUST_05031,CC_006,5218-YYYY-YYYY-9263,259259,175770,2023-06-15,2026-06-14,active,True,False
CUST_05031,CC_001,5218-YYYY-YYYY-9264,178665,81152,2023-10-29,2026-10-28,active,False,False
CUST_05032,CC_003,5218-YYYY-YYYY-9265,52489,25276,2022-11-19,2025-11-18,active,True,False
CUST_05032,CC_006,5218-YYYY-YYYY-9266,146872,95296,2022-12-23,2025-12-22,active,False,False
CUST_05033,CC_006,5218-YYYY-YYYY-9267,46148,5095,2022-04-25,2025-04-24,active,True,False
CUST_05033,CC_004,5218-YYYY-YYYY-9268,62858,43530,2022-01-09,2025-01-08,active,False,False
CUST_05034,CC_002,5218-YYYY-YYYY-9269,13438,4475,2024-04-29,2027-04-29,active,True,True
CUST_05034,CC_007,5218-YYYY-YYYY-9270,164182,50084,2024-03-11,2027-03-11,active,False,True
CUST_05035,CC_007,5218-YYYY-YYYY-9271,870467,262468,2025-12-10,2028-12-09,active,True,False
CUST_05035,CC_005,5218-YYYY-YYYY-9272,454452,181608,2025-09-23,2028-09-22,active,False,False
CUST_05036,CC_002,5218-YYYY-YYYY-9273,13872,6273,2021-01-11,2024-01-11,active,True,False
CUST_05037,CC_001,5218-YYYY-YYYY-9274,169354,79787,2022-03-26,2025-03-25,active,True,False
CUST_05038,CC_005,5218-YYYY-YYYY-9275,429029,134727,2021-05-18,2024-05-17,active,True,False
CUST_05038,CC_004,5218-YYYY-YYYY-9276,46788,25696,2021-05-09,2024-05-08,active,False,False
CUST_05039,CC_007,5218-YYYY-YYYY-9277,97900,31391,2021-05-16,2024-05-15,active,True,False
CUST_05039,CC_002,5218-YYYY-YYYY-9278,26237,8099,2021-09-20,2024-09-19,active,False,False
CUST_05040,CC_007,5218-YYYY-YYYY-9279,92419,37722,2023-06-25,2026-06-24,active,True,False
CUST_05041,CC_006,5218-YYYY-YYYY-9280,52730,11264,2025-05-06,2028-05-05,active,True,False
CUST_05041,CC_001,5218-YYYY-YYYY-9281,238690,113232,2025-06-25,2028-06-24,active,False,False
CUST_05042,CC_001,5218-YYYY-YYYY-9282,300824,180563,2025-12-27,2028-12-26,active,True,False
CUST_05042,CC_007,5218-YYYY-YYYY-9283,292655,60476,2025-12-06,2028-12-05,active,False,False
CUST_05043,CC_002,5218-YYYY-YYYY-9284,38357,13954,2024-08-03,2027-08-03,active,True,False
CUST_05044,CC_005,5218-YYYY-YYYY-9285,77899,17616,2021-02-28,2024-02-28,active,True,False
CUST_05044,CC_002,5218-YYYY-YYYY-9286,28546,9647,2021-03-16,2024-03-15,active,False,False
CUST_05045,CC_004,5218-YYYY-YYYY-9287,16736,11578,2022-12-20,2025-12-19,active,True,False
CUST_05046,CC_005,5218-YYYY-YYYY-9288,445960,133754,2022-08-04,2025-08-03,active,True,True
CUST_05046,CC_002,5218-YYYY-YYYY-9289,54838,24120,2022-05-10,2025-05-09,active,False,False
CUST_05046,CC_004,5218-YYYY-YYYY-9290,37513,14773,2022-08-06,2025-08-05,active,False,False
CUST_05047,CC_007,5218-YYYY-YYYY-9291,492415,325102,2026-02-14,2029-02-13,active,True,False
CUST_05047,CC_002,5218-YYYY-YYYY-9292,16986,5253,2025-10-30,2028-10-29,active,False,False
CUST_05048,CC_004,5218-YYYY-YYYY-9293,78975,15987,2023-12-22,2026-12-21,active,True,False
CUST_05048,CC_002,5218-YYYY-YYYY-9294,58763,37365,2023-07-23,2026-07-22,active,False,False
CUST_05048,CC_003,5218-YYYY-YYYY-9295,80436,54352,2023-08-20,2026-08-19,active,False,False
CUST_05049,CC_004,5218-YYYY-YYYY-9296,54457,34090,2024-03-13,2027-03-13,active,True,False
CUST_05050,CC_004,5218-YYYY-YYYY-9297,18487,10710,2022-07-28,2025-07-27,dormant,True,False
CUST_05050,CC_005,5218-YYYY-YYYY-9298,230757,133391,2022-09-14,2025-09-13,active,False,False
CUST_05051,CC_007,5218-YYYY-YYYY-9299,369654,77847,2024-12-06,2027-12-06,active,True,False
CUST_05051,CC_003,5218-YYYY-YYYY-9300,77781,32912,2024-10-18,2027-10-18,active,False,False
CUST_05052,CC_005,5218-YYYY-YYYY-9301,113321,36802,2025-06-13,2028-06-12,active,True,False
CUST_05052,CC_004,5218-YYYY-YYYY-9302,62368,26061,2025-06-02,2028-06-01,active,False,False
CUST_05052,CC_007,5218-YYYY-YYYY-9303,665696,110544,2025-08-05,2028-08-04,active,False,False
CUST_05053,CC_005,5218-YYYY-YYYY-9304,220593,120254,2024-05-04,2027-05-04,active,True,False
CUST_05053,CC_007,5218-YYYY-YYYY-9305,787423,154075,2024-06-15,2027-06-15,active,False,False
CUST_05054,CC_007,5218-YYYY-YYYY-9306,169297,84110,2023-05-20,2026-05-19,active,True,False
CUST_05055,CC_007,5218-YYYY-YYYY-9307,345069,111466,2024-04-08,2027-04-08,active,True,False
CUST_05056,CC_007,5218-YYYY-YYYY-9308,498127,173986,2024-09-07,2027-09-07,active,True,False
CUST_05057,CC_006,5218-YYYY-YYYY-9309,132321,60835,2021-08-13,2024-08-12,active,True,False
CUST_05057,CC_003,5218-YYYY-YYYY-9310,61178,9903,2021-05-23,2024-05-22,active,False,False
