customer_id,account_id,account_number,account_type,opening_date,current_balance,account_status,account_holder_type,recurring_balance
CUST_00001,ACC_00001,07906473958,Basic Saving Bank Deposit Account,2023-12-09,3171,active,single,3171
CUST_00002,ACC_00002,17441170723,Minor Saving Account,2021-06-29,2046,active,single,2046
CUST_00003,ACC_00003,66298199788,Saving Plus Bank Account,2021-12-23,124094,active,single,124094
CUST_00004,ACC_00004,41765036029,Basic Saving Bank Deposit Account,2025-11-04,4629,active,single,4629
CUST_00005,ACC_00005,27198109844,Basic Saving Bank Deposit Small Account,2023-12-28,14060,active,single,14060
CUST_00006,ACC_00006,88265234304,Minor Saving Account,2023-10-13,3307,active,single,3307
CUST_00007,ACC_00007,29569103524,Minor Saving Account,2023-01-02,47855,active,single,47855
CUST_00008,ACC_00008,79958185012,Saving Bank Account,2021-12-10,7576,active,single,7576
CUST_00009,ACC_00009,16347016541,Basic Saving Bank Deposit Small Account,2021-09-22,9584,active,single,9584
CUST_00010,ACC_00010,29363176197,Saving Bank Account,2025-02-16,33503,active,single,33503
CUST_00011,ACC_00011,10949899056,Basic Saving Bank Deposit Small Account,2022-12-27,8747,active,single,8747
CUST_00012,ACC_00012,86490796184,Saving Bank Account,2023-10-20,11857,active,single,11857
CUST_00013,ACC_00013,16334016633,Resident Foreign Currency Domestic Account,2021-11-09,979135,active,single,979135
CUST_00014,ACC_00014,73617984489,Resident Foreign Currency Domestic Account,2025-10-13,683006,active,single,683006
CUST_00015,ACC_00015,44853124175,Saving Plus Bank Account,2023-04-09,350050,active,single,350050
CUST_00016,ACC_00016,89704640014,Saving Bank Account,2024-07-08,82292,active,single,82292
CUST_00017,ACC_00017,47262163157,Digital Saving Account,2023-01-19,131071,active,single,131071
CUST_00018,ACC_00018,35513649301,Resident Foreign Currency Domestic Account,2024-03-04,921728,active,single,921728
CUST_00019,ACC_00019,52967243470,Minor Saving Account,2021-06-23,5838,active,single,5838
CUST_00020,ACC_00020,02697428906,Digital Saving Account,2025-01-17,114144,active,single,114144
CUST_00020,ACC_00021,63643044979,Basic Saving Bank Deposit Small Account,2025-01-28,8041,active,single,8041
CUST_00021,ACC_00022,15760670012,Saving Plus Bank Account,2022-11-30,380257,active,single,380257
CUST_00022,ACC_00023,18100982533,Basic Saving Bank Deposit Account,2023-02-12,12238,active,single,12238
CUST_00023,ACC_00024,94702816236,Resident Foreign Currency Domestic Account,2023-12-28,397722,active,single,397722
CUST_00024,ACC_00025,99714685749,Minor Saving Account,2023-06-08,20209,active,single,20209
CUST_00025,ACC_00026,25083367809,Resident Foreign Currency Domestic Account,2021-08-23,212558,active,single,212558
CUST_00026,ACC_00027,58797729898,Saving Bank Account,2023-11-23,63173,active,single,63173
CUST_00027,ACC_00028,37468639840,Resident Foreign Currency Domestic Account,2024-02-20,430891,active,single,430891
CUST_00028,ACC_00029,58393134036,Digital Saving Account,2024-06-18,21864,active,single,21864
CUST_00029,ACC_00030,15061380649,Saving Plus Bank Account,2025-02-15,48416,active,single,48416
CUST_00030,ACC_00031,80733830404,Digital Saving Account,2025-03-21,139193,active,single,139193
CUST_00031,ACC_00032,12365289393,Saving Plus Bank Account,2022-04-07,144548,active,single,144548
CUST_00032,ACC_00033,44582574237,Saving Plus Bank Account,2023-01-07,439889,active,single,439889
CUST_00033,ACC_00034,93453039519,Basic Saving Bank Deposit Account,2024-09-07,11117,active,single,11117
